"","date","value","Pmm"
"1","2014-09-30T00:00:00",64,6.4
"2","2014-10-01T00:00:00",0,0
"3","2014-10-02T00:00:00",0,0
"4","2014-10-03T00:00:00",0,0
"5","2014-10-04T00:00:00",150,15
"6","2014-10-05T00:00:00",0,0
"7","2014-10-06T00:00:00",0,0
"8","2014-10-07T00:00:00",254,25.4
"9","2014-10-08T00:00:00",51,5.1
"10","2014-10-09T00:00:00",0,0
"11","2014-10-10T00:00:00",28,2.8
"12","2014-10-11T00:00:00",0,0
"13","2014-10-12T00:00:00",41,4.1
"14","2014-10-13T00:00:00",5,0.5
"15","2014-10-14T00:00:00",81,8.1
"16","2014-10-15T00:00:00",450,45
"17","2014-10-16T00:00:00",28,2.8
"18","2014-10-17T00:00:00",0,0
"19","2014-10-18T00:00:00",0,0
"20","2014-10-19T00:00:00",0,0
"21","2014-10-20T00:00:00",0,0
"22","2014-10-21T00:00:00",8,0.8
"23","2014-10-22T00:00:00",0,0
"24","2014-10-23T00:00:00",0,0
"25","2014-10-24T00:00:00",0,0
"26","2014-10-25T00:00:00",0,0
"27","2014-10-26T00:00:00",0,0
"28","2014-10-27T00:00:00",0,0
"29","2014-10-28T00:00:00",0,0
"30","2014-10-29T00:00:00",0,0
"31","2014-10-30T00:00:00",18,1.8
"32","2014-10-31T00:00:00",0,0
"33","2014-11-01T00:00:00",10,1
"34","2014-11-02T00:00:00",0,0
"35","2014-11-03T00:00:00",0,0
"36","2014-11-04T00:00:00",0,0
"37","2014-11-05T00:00:00",0,0
"38","2014-11-06T00:00:00",10,1
"39","2014-11-07T00:00:00",8,0.8
"40","2014-11-08T00:00:00",0,0
"41","2014-11-09T00:00:00",0,0
"42","2014-11-10T00:00:00",0,0
"43","2014-11-11T00:00:00",0,0
"44","2014-11-12T00:00:00",0,0
"45","2014-11-13T00:00:00",0,0
"46","2014-11-14T00:00:00",0,0
"47","2014-11-15T00:00:00",0,0
"48","2014-11-16T00:00:00",0,0
"49","2014-11-17T00:00:00",287,28.7
"50","2014-11-18T00:00:00",53,5.3
"51","2014-11-19T00:00:00",0,0
"52","2014-11-20T00:00:00",0,0
"53","2014-11-21T00:00:00",0,0
"54","2014-11-22T00:00:00",0,0
"55","2014-11-23T00:00:00",15,1.5
"56","2014-11-24T00:00:00",213,21.3
"57","2014-11-25T00:00:00",0,0
"58","2014-11-26T00:00:00",48,4.8
"59","2014-11-27T00:00:00",25,2.5
"60","2014-11-28T00:00:00",0,0
"61","2014-11-29T00:00:00",0,0
"62","2014-11-30T00:00:00",0,0
"63","2014-12-01T00:00:00",0,0
"64","2014-12-02T00:00:00",0,0
"65","2014-12-03T00:00:00",0,0
"66","2014-12-04T00:00:00",0,0
"67","2014-12-05T00:00:00",13,1.3
"68","2014-12-06T00:00:00",58,5.8
"69","2014-12-07T00:00:00",15,1.5
"70","2014-12-08T00:00:00",0,0
"71","2014-12-09T00:00:00",0,0
"72","2014-12-10T00:00:00",0,0
"73","2014-12-11T00:00:00",0,0
"74","2014-12-12T00:00:00",0,0
"75","2014-12-13T00:00:00",0,0
"76","2014-12-14T00:00:00",0,0
"77","2014-12-15T00:00:00",0,0
"78","2014-12-16T00:00:00",51,5.1
"79","2014-12-17T00:00:00",0,0
"80","2014-12-18T00:00:00",0,0
"81","2014-12-19T00:00:00",0,0
"82","2014-12-20T00:00:00",25,2.5
"83","2014-12-21T00:00:00",0,0
"84","2014-12-22T00:00:00",0,0
"85","2014-12-23T00:00:00",71,7.1
"86","2014-12-24T00:00:00",338,33.8
"87","2014-12-25T00:00:00",20,2
"88","2014-12-26T00:00:00",0,0
"89","2014-12-27T00:00:00",0,0
"90","2014-12-28T00:00:00",5,0.5
"91","2014-12-29T00:00:00",122,12.2
"92","2014-12-30T00:00:00",5,0.5
"93","2014-12-31T00:00:00",0,0
"94","2015-01-01T00:00:00",0,0
"95","2015-01-02T00:00:00",0,0
"96","2015-01-03T00:00:00",89,8.9
"97","2015-01-06T00:00:00",0,0
"98","2015-01-07T00:00:00",0,0
"99","2015-01-08T00:00:00",0,0
"100","2015-01-09T00:00:00",0,0
"101","2015-01-10T00:00:00",0,0
"102","2015-01-11T00:00:00",0,0
"103","2015-01-12T00:00:00",28,2.8
"104","2015-01-13T00:00:00",127,12.7
"105","2015-01-14T00:00:00",0,0
"106","2015-01-15T00:00:00",0,0
"107","2015-01-16T00:00:00",0,0
"108","2015-01-17T00:00:00",0,0
"109","2015-01-18T00:00:00",5,0.5
"110","2015-01-19T00:00:00",3,0.3
"111","2015-01-20T00:00:00",0,0
"112","2015-01-21T00:00:00",0,0
"113","2015-01-22T00:00:00",0,0
"114","2015-01-23T00:00:00",38,3.8
"115","2015-01-24T00:00:00",173,17.3
"116","2015-01-25T00:00:00",0,0
"117","2015-01-26T00:00:00",5,0.5
"118","2015-01-27T00:00:00",0,0
"119","2015-01-28T00:00:00",0,0
"120","2015-01-29T00:00:00",0,0
"121","2015-01-30T00:00:00",5,0.5
"122","2015-01-31T00:00:00",0,0
"123","2015-02-01T00:00:00",0,0
"124","2015-02-02T00:00:00",218,21.8
"125","2015-02-03T00:00:00",0,0
